Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2015-12-27,0.90000000000000003,5040365.47,1833946.5900000001,1760956.0200000001,232755.85000000001,1212707.0100000001,1090140.0700000001,110737.35000000001,11829.590000000001
2015-12-20,0.94,4695737.21,1676601.43,1543280.7600000001,266689.82000000001,1209165.2,1061703.5800000001,136747.10000000001,10714.520000000001
2015-12-13,0.87,5259354.3,1806690.0800000001,1627240.7600000001,232985.13000000001,1592438.3300000001,1404012,180150.37,8275.96
2015-12-06,0.78000000000000003,5775536.27,1943065.5,2100246.17,221957.26000000001,1510267.3400000001,1376640.91,126664.37,6962.0600000000005
2015-11-29,0.91000000000000004,4575710.6200000002,1461699.38,1810202.7,222311.07000000001,1081497.47,991568.84,82338.39,7590.24
2015-11-22,0.92000000000000004,4804278.1600000002,1602215.5700000001,1917124.5200000001,215632.16000000001,1069305.91,979612.52000000002,82444.32000000001,7249.07
2015-11-15,0.83,5755190.6900000005,2243013.44,2164098.9900000003,195159.32000000001,1152918.94,1091768.68,53797.92,7352.3400000000002
2015-11-08,0.98,5148983.51,2317858.8100000001,1758964.5400000001,216523.58,855636.58,813006.40000000003,36305.96,6324.2200000000003
2015-11-01,0.95,5830427.96,2369824.75,2596785.28,211901.97000000001,651915.96,626993.54000000004,19804.69,5117.73
2015-10-25,1.1200000000000002,4592461.81,1733791.3100000001,2025016.15,215622.63000000001,618031.72,606392.86,7596.2700000000005,4042.5900000000002
2015-10-18,1.0700000000000001,4999031.7900000001,1847991.3100000001,2286235.7900000001,217814.17000000002,646990.52000000002,633893.61,10780.32,2316.5900000000002
2015-10-11,1.0800000000000001,5063309.38,1757211.5800000001,2530023.1800000002,221032.74,555041.88000000001,533478.03000000003,18373.180000000001,3190.6700000000001
2015-10-04,1.0200000000000001,4943781.2900000001,1461112.39,2788317.94,222260.58,472090.38000000001,442923.78000000003,25572.26,3594.3400000000002
2015-09-27,1.0400000000000001,5216784.63,1860050.39,2635028.38,206460.07000000001,515245.79,496867.66,13336.340000000001,5041.79
2015-09-20,1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.77000000002,529779.37,17303.91,5126.49
2015-09-13,1.13,5106508.1200000002,1863270.8100000001,2388023.3300000001,270794.34000000003,584419.64000000002,502056.88000000001,76297.56,6065.2
2015-09-06,1.0900000000000001,5806392.7800000003,2859325.9100000002,2077193.6000000001,240185,629688.27000000002,591629.83,33545.370000000003,4513.07
2015-08-30,1.0800000000000001,5647385.1500000004,3104607.82,1660274.3200000001,233027.36,649475.65000000003,640600.64000000002,5989.25,2885.7600000000003
2015-08-23,1.18,5193221,2626977.9500000002,1798911.3300000001,222082.91000000001,545248.8100000001,535183.95,6573.5,3491.3600000000002
2015-08-16,1.1100000000000001,5616434.0800000001,3098708.55,1731349,208724.73000000002,577651.8000000001,572197.46,2081.9600000000001,3372.3800000000002
2015-08-09,1.1000000000000001,6232081.27,3260775.73,2196704.9700000003,193831.60000000001,580768.97,570728.54000000004,7356.8400000000002,2683.5900000000002
2015-08-02,1.16,5428238.8700000002,2940145.82,1737845.94,183471.03,566776.08,559587.76000000001,4953.57,2234.75
2015-07-26,1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.54000000004,590750.1,5181.16,2676.2800000000003
2015-07-19,1.18,5225200.52,2805887.7400000003,1629871.75,188207.47000000001,601233.5600000001,577736.96,20673.8,2822.8000000000002
2015-07-12,1.13,5451636.92,2747299.98,1923893.1100000002,157478.05,622965.78000000003,601358.64000000002,18032.41,3574.7300000000001
2015-07-05,1.1200000000000002,6718011.8300000001,3581149.88,2120303.0600000001,254187.47000000001,762371.4200000001,731692.08,27317.19,3362.1500000000001
2015-06-28,1.1000000000000001,5641742.02,3163839.7400000003,1610910.0700000001,212173.21,654819,630301.44,21861.540000000001,2656.02
2015-06-21,1.0700000000000001,5952597.2900000001,3328631.9300000002,1743509.25,218423.77,662032.34,634244.6800000001,24277.53,3510.1300000000002
2015-06-14,0.97,6741662.31,4075881.34,1771908.98,210670.82000000001,683201.1700000001,657421.4200000001,22961.19,2818.56
2015-06-07,0.98,6374842.9000000004,3614314.44,1860329.3000000001,221330.48000000002,678868.6800000001,651944.51000000001,23422.39,3501.7800000000003
2015-05-31,0.98,6236903.31,3620440.3500000001,1826496.6200000002,209443.33,580523.01000000001,554224.64000000002,23083.080000000002,3215.29
2015-05-24,1.1000000000000001,5621713.64,2978396.7400000003,1873205.91,195991.06,574119.9300000001,546420.69,24485.840000000001,3213.4000000000001
2015-05-17,1.0800000000000001,5289138.5,2923673.9300000002,1649623.66,168597.35000000001,547243.5600000001,525804.7,18497.03,2941.83
2015-05-10,0.9300000000000001,6650357.96,4085858.78,1735132.3200000001,194575.97000000001,634790.89000000002,613601.09,18366.270000000001,2823.5300000000003
2015-05-03,0.88000000000000001,8567534.490000001,4340117.0300000003,3403145.1000000001,192473.92000000002,631798.44,609388.58,19735.89,2673.97
2015-04-26,1.15,4923565.0400000001,2421009.67,1729486.7700000001,196469.02,576599.58,548252.41000000004,26483.990000000002,1863.1800000000001
2015-04-19,1.0500000000000001,5871080.81,3024466.2200000003,2070974.14,177354.82000000001,598285.63000000001,524767.96,71988.59,1529.08
2015-04-12,1.0600000000000001,5636644.51,2848184,1988818.23,185198.77,614443.51000000001,532714.02000000002,79865.30000000001,1864.1900000000001
2015-04-05,1.1200000000000002,5467155.55,2754464.8700000002,1886168.89,225396.85000000001,601124.94,539258.29000000004,59212.09,2654.56
2015-03-29,1.1000000000000001,5341821.67,2609532.63,1869271.3100000001,193577.55,669440.1800000001,605995.11,61958.730000000004,1486.34
2015-03-22,1.0600000000000001,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.970000000002,1546.29
2015-03-15,1.0600000000000001,5557163.1100000004,2962520.4100000002,1737353.95,194761.49,662527.26000000001,632903.5500000001,27625.150000000002,1998.56
2015-03-08,0.96,5990243.89,3484274.6000000001,1649936.0500000001,184720.58,671312.66000000004,642307,27241.05,1764.61
2015-03-01,0.84,6700134.25,3516551.2900000001,2460932.4100000002,170580.54000000001,552070.01000000001,515386.40000000003,34845.510000000003,1838.1
2015-02-22,0.96,5951871.3200000003,3210177.2200000003,1933699.49,172675.88000000001,635318.73,596184.90000000003,36940.510000000003,2193.3200000000002
2015-02-15,0.96,5699944.93,3315163.6000000001,1620462.13,169907.54000000001,594411.66000000004,544990.6800000001,47017.930000000001,2403.0500000000002
2015-02-08,0.91000000000000004,5871224.5800000001,2908845.38,2200393.8900000002,149458.93,612526.38000000001,553682.71,56311.080000000002,2532.5900000000002
2015-02-01,0.85,9032180.67,4794142.14,3460743.8,177145.49,600149.24,556205.2,41203.2,2740.8400000000002
2015-01-25,1.0600000000000001,4929884.26,2380955.61,1827783.2800000001,150535.5,570609.87,521004.15000000003,46809.480000000004,2796.24
2015-01-18,1.0200000000000001,5570915.26,2780859.6600000002,2108450.36,121614.31,559990.9300000001,520299.26000000001,36501.180000000001,3190.49
2015-01-11,0.92000000000000004,6024932.34,2889591.2900000001,2485720.1000000001,103573.42,546047.53000000003,510560.41,31874.03,3613.0900000000002
2015-01-04,0.9300000000000001,5777334.9000000004,2843648.26,2267755.26,137479.64000000002,528451.74,477193.38000000001,47882.56,3375.8000000000002
