Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2017-12-31,1.71,160039.02,46373.360000000001,55040.010000000003,0,58625.650000000002,58526.970000000002,98.68000000000001,0
2017-12-24,1.8200000000000001,138506.44000000001,25276.340000000001,58176.830000000002,0,55053.27,54984.78,68.49,0
2017-12-17,1.75,126089.01,24044.07,55284.970000000002,0,46759.970000000002,46698.32,61.65,0
2017-12-10,1.89,125853.18,31270.64,46280.63,0,48301.910000000004,48263.46,38.450000000000003,0
2017-12-03,1.8100000000000001,125973.2,23983.71,47847.46,0,54142.03,54089.5,52.530000000000002,0
2017-11-26,2,115472.08000000001,23310.44,47380.190000000003,0,44781.45,44756.790000000001,24.660000000000001,0
2017-11-19,1.98,122170.14,25968.520000000001,47146.260000000003,0,49055.360000000001,49022.35,33.01,0
2017-11-12,1.99,122017.93,29124.07,43952.88,1.5900000000000001,48939.39,48885.5,53.890000000000001,0
2017-11-05,1.7600000000000001,145735.09,27876.400000000002,67331.860000000001,0,50526.830000000002,50478.71,48.12,0
2017-10-29,2.01,129602.47000000001,29243.35,48086.52,0,52272.6,52247.85,24.75,0
2017-10-22,2,132184.44000000001,27492.71,48684.870000000003,0,56006.860000000001,55961.39,45.47,0
2017-10-15,2.1000000000000001,115255.48,25513.540000000001,44390.25,0,45351.690000000003,45271.06,80.63,0
2017-10-08,2.17,124505.87,26222.41,53539.49,0,44743.970000000002,44692.13,51.840000000000004,0
2017-10-01,2.0800000000000001,132771.77,31036.76,59948.6,0,41786.410000000004,41755.45,30.960000000000001,0
2017-09-24,2.05,138458.82000000001,34599.220000000002,63107.77,1.5700000000000001,40750.260000000003,40700.410000000004,49.850000000000002,0
2017-09-17,2.1800000000000002,152064.59,48806.34,66114.77000000001,0,37143.480000000004,37121.28,22.2,0
2017-09-10,2.2000000000000002,140337.35000000001,40795.150000000002,62854.160000000004,0,36688.040000000001,36679.32,8.720000000000001,0
2017-09-03,2.09,142391.81,33578.96,64298.99,0,44513.860000000001,44484.970000000002,28.890000000000001,0
2017-08-27,2.5400000000000001,121293.43,31149.69,48281.230000000004,0,41862.510000000003,41815.14,47.37,0
2017-08-20,2.3700000000000002,140365.99,28993.37,44771.32,1.5700000000000001,66599.73,66546.4,53.33,0
2017-08-13,2.21,139016.53,27834.92,44902.56,0,66279.05000000001,66110.10000000001,168.95,0
2017-08-06,2.1800000000000002,118098.82000000001,18668.32,42686.77,0,56743.730000000004,55680.440000000003,1063.29,0
2017-07-30,2.1400000000000002,113903.29,15243.520000000001,40785.21,0,57874.56,57767.34,107.22,0
2017-07-23,2.17,128480.81,20884.310000000002,52053.330000000002,4.67,55538.5,55471.46,67.04000000000001,0
2017-07-16,2.1400000000000002,127255.55000000001,18861.090000000001,52718.440000000003,9.36,55666.660000000004,55588.67,77.99,0
2017-07-09,1.6200000000000002,169101.22000000001,18593.360000000001,54586.32,4.68,95916.860000000001,95826.720000000002,90.140000000000001,0
2017-07-02,1.73,163970.9,20969.94,58901.690000000003,9.35,84089.92,83873.31,216.61000000000002,0
2017-06-25,1.66,167931.62,23367.89,53252.13,0,91311.60000000001,89270.67,2040.9300000000001,0
2017-06-18,1.7800000000000001,181725.85000000001,32417.62,60616.150000000002,0,88692.080000000002,82117.330000000002,6574.75,0
2017-06-11,1.7900000000000001,179141.21,32283.400000000002,64309.03,6.18,82542.60000000001,82388.73,153.87000000000001,0
2017-06-04,1.64,206419.24,31578.610000000001,80018.80000000001,12.42,94809.41000000001,94661.56,147.85,0
2017-05-28,1.7600000000000001,197588.64000000002,31705.67,68967.28,12.52,96903.17,96713.71000000001,189.46000000000001,0
2017-05-21,1.7800000000000001,183083.69000000001,28908.03,67866.42,7.8,86301.440000000003,86037.360000000001,264.08,0
2017-05-14,1.7600000000000001,167406.47000000001,29347.26,61178.45,7.8200000000000003,76872.940000000003,75429.92,1443.02,0
2017-05-07,1.5900000000000001,211442.68,27955.44,80576.31,1.6100000000000001,102909.32000000001,102120.45,788.87000000000001,0
2017-04-30,1.6100000000000001,199903.62,29040.03,67606.93,7.7900000000000001,103248.87,99212.470000000002,4036.4000000000001,0
2017-04-23,1.6000000000000001,197179.76000000001,28028.44,69003.580000000002,4.7000000000000002,100143.04,86815.31,13327.73,0
2017-04-16,1.67,194263.4,28602.39,68759.01,7.85,96894.15,87693.860000000001,9200.290000000001,0
2017-04-09,1.63,186112.10000000001,30319.270000000001,66541.46000000001,7.8600000000000004,89243.51,82024.66000000001,7218.8500000000004,0
2017-04-02,1.64,191988.18,31381.85,69457.56,17.300000000000001,91131.470000000002,87215.5,3915.97,0
2017-03-26,1.7,194052.77,34618.57,71542.71000000001,7.8600000000000004,87883.63000000001,84717.09,3166.54,0
2017-03-19,1.5700000000000001,209591.02,25435.01,81224.16000000001,39.25,102892.60000000001,81019.63000000001,21872.970000000002,0
2017-03-12,1.5300000000000001,210400.75,26372.8,73288.71000000001,9.460000000000001,110729.78,96032.09,14697.690000000001,0
2017-03-05,1.45,220712.33,28613.880000000002,65742.41000000001,6.34,126349.7,89588.54,36761.160000000004,0
2017-02-26,1.3400000000000001,215699.08,26443.610000000001,69371.98,3.1600000000000002,119880.33000000001,102260.68,17619.650000000002,0
2017-02-19,1.5,183797.3,27932.48,71026.470000000002,3.1600000000000002,84835.190000000003,83854.04,981.15,0
2017-02-12,1.5400000000000001,151754.58,27367.520000000001,55812.63,20.18,68554.25,66789.82000000001,1764.4300000000001,0
2017-02-05,1.3600000000000001,169739.8,37220.31,82017.4,9.460000000000001,50492.63,49406.120000000003,1086.51,0
2017-01-29,1.44,165225.54000000001,30958.580000000002,65973.06,23.2,68270.7,52928.720000000002,15341.98,0
2017-01-22,1.5300000000000001,136422.97000000001,28034.89,54342.56,6.18,54039.34,49913.430000000001,4125.91,0
2017-01-15,1.66,142739.21,27811.48,58090.25,3.0800000000000001,56834.400000000002,55364.110000000001,1470.29,0
2017-01-08,1.5,177777.4,33563.39,69671.75,4.6200000000000002,74537.64,69842.470000000002,4695.1700000000001,0
2017-01-01,1.46,164137.04000000001,31267.650000000002,65430.27,6.1600000000000002,67432.96000000001,50963.980000000004,16468.98,0
