Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.2,5921732.4500000002,304122.84000000003,3795870.09,5203.61,1816535.91,1537105.0400000001,266417.54,13013.33
2018-07-08,1.22,6552745.25,406913.76000000001,4242756.17,2902.4400000000001,1900172.88,1468494.24,413369.75,18308.89
2018-07-01,1.22,6193875.1500000004,466014.32000000001,3836063.3100000001,4906.57,1886890.95,1582983.7600000001,293962.66,9944.530000000001
2018-06-24,1.19,6292669.1500000004,493031.13000000001,4189217.9500000002,7514.48,1602905.5900000001,1245947.92,340192.24,16765.430000000001
2018-06-17,1.2,6563643.5400000001,491094.16,4051687.5400000001,4934.2100000000001,2015927.63,1697924.8500000001,303045.94000000001,14956.840000000001
2018-06-10,1.1000000000000001,7281658.42,536312.90000000003,4772358.7000000002,7498.04,1965488.7800000001,1661174.5500000001,287303.12,17011.110000000001
2018-06-03,1.24,6076276.2000000002,491465.11,3719299.3100000001,8219.31,1857292.47,1497219.0400000001,342687.88000000001,17385.55
2018-05-27,1.14,7156855.3300000001,497485.26000000001,4678193.39,8695.99,1972480.69,1625097.8400000001,329115.07000000001,18267.78
2018-05-20,1.25,5601182.31,453103.98,3462615.3500000001,6313.2700000000005,1679149.71,1331769.48,327785.01000000001,19595.220000000002
2018-05-13,1.13,6694854.89,532678.76000000001,4226211.8700000002,8637.07,1927327.19,1578918.74,329328.98,19079.470000000002
2018-05-06,1.1200000000000002,8836406.220000001,578523.59,6533192.7900000001,14510.370000000001,1710179.47,1284830.2,406766.32000000001,18582.950000000001
2018-04-29,1.1000000000000001,6678816.6900000005,491153.09000000003,4127180.8700000002,7483.91,2052998.8200000001,1638465.8500000001,397243.88000000001,17289.090000000001
2018-04-22,1.2600000000000001,5421793.1500000004,449022.54,3309612.46,10894.260000000001,1652263.89,1307213.6000000001,328561.02000000002,16489.270000000001
2018-04-15,1.23,7088324.71,484741.44000000001,5006809.47,11881.950000000001,1584891.8500000001,1190981.8400000001,377921.87,15988.14
2018-04-08,1.2600000000000001,5139190.2900000001,423598.84000000003,3038762.4300000002,7252.5500000000002,1669576.47,1442920.0200000001,210712.01000000001,15944.440000000001
2018-04-01,1.3000000000000001,5168451.96,417377,2811702.32,7289.4700000000003,1932083.17,1670107.98,243152.97000000001,18822.220000000002
2018-03-25,1.3500000000000001,5134637.05,443927.42,2940789.8500000001,6733.3800000000002,1743186.4,1495884.8400000001,232372.83,14928.73
2018-03-18,1.3400000000000001,4621126.31,453731.61,2646866.44,7610.65,1512917.6100000002,1210266.0600000001,287448.21000000003,15203.340000000001
2018-03-11,1.2700000000000001,5214137.3300000001,412621.66,3066433.3900000002,6214.6300000000002,1728867.65,1436116.22,279239.21000000003,13512.22
2018-03-04,1.22,5318554.52,364721.28000000003,3542626.1000000001,6184.7700000000005,1405022.3700000002,1101807.6200000002,291485.87,11728.88
2018-02-25,1.3000000000000001,4525386.6900000005,413430.69000000001,2459409.32,7486.3400000000002,1645060.3400000001,1357273.92,275551.97,12234.450000000001
2018-02-18,1.3100000000000001,4112725.9,371846.83000000002,2539306.9900000003,6573.57,1194998.5100000001,976712.5500000001,207823.43,10462.530000000001
2018-02-11,1.24,5694136.21,565852.47,3782154.05,14275.870000000001,1331853.8200000001,1134698.1100000002,186733.68,10422.030000000001
2018-02-04,1.22,7508650.27,480603.90000000003,5402444.4500000002,14403.38,1611198.5400000001,1275859.94,329682.23,5656.37
2018-01-28,1.23,5680957.63,418911.03000000003,3730287.55,8112.2200000000003,1523646.8300000001,1278588.1200000002,242866.49,2192.22
2018-01-21,1.25,6137752.6100000004,441673.49,4447691.02,16607.82,1231780.2800000001,990188.6700000001,241571.32000000001,20.29
2018-01-14,1.49,4073408.38,282970.70000000002,2558511.2700000001,8555.47,1223370.94,955649.36,267714.63000000001,6.9500000000000002
2018-01-07,1.43,4230002.92,241291.93,2868985.8900000002,12579.510000000001,1107145.5900000001,769968.02000000002,337149.02000000002,28.550000000000001
