Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,0.79000000000000004,8023898.5300000003,3254815.5,1338455.88,19077.85,3411549.3,2512728.01,897682.14000000002,1139.1500000000001
2018-07-08,0.74,9050347.7,3581880.6000000001,1476136.5700000001,40879.85,3951450.6800000002,3009778.69,939600.88000000001,2071.1100000000002
2018-07-01,0.82,7645570.39,3228049.1800000002,1160337.8300000001,170219.08,3086964.3,2206567.9900000003,877948.15000000003,2448.16
2018-06-24,0.80000000000000005,7594319.7300000005,3558991.23,1049510,16346.71,2969471.7900000001,2403045.67,564778.47,1647.6500000000001
2018-06-17,0.87,7235255.9800000005,3338681.8100000001,1470265.63,21723.16,2404585.38,1736048.8600000002,659875.49,8661.030000000001
2018-06-10,0.8100000000000001,7476012.1100000004,4076549.1800000002,1054661.8000000001,16035.430000000001,2328765.7000000002,1668065.5600000001,596949.5600000001,63750.580000000002
2018-06-03,0.8100000000000001,7727904.88,3759318.76,1403274,36176.220000000002,2529135.9,1605172.94,855356.08,68606.88000000001
2018-05-27,0.7,9157655.54,4413960.21,1335069.0200000001,40913.690000000003,3367712.6200000002,2188143.5200000001,1117333.5700000001,62235.53
2018-05-20,0.69,8849426.910000001,4322688.97,988425.98,35137.650000000002,3503174.3100000001,2691461.21,750365.83,61347.27
2018-05-13,0.71,8628945.2,4000684.3100000001,1009149.85,41197.620000000003,3577913.42,3068604.6400000002,442570.37,66738.41000000001
2018-05-06,0.7,10252748.730000001,5114198.2000000002,1195083.71,40333.32,3903133.5,3339666.1200000002,498813.87,64653.510000000003
2018-04-29,0.86,6794652.0300000003,3287421.1000000001,1053432.72,40551.470000000002,2413246.7400000003,1842906.8300000001,505287.53000000003,65052.38
2018-04-22,0.71,8712434.410000001,4130867.94,1051789.1200000002,38885.720000000002,3490891.63,2604855.25,809183.58,76852.80000000001
2018-04-15,0.75,8646285.800000001,3725076.5,1187617.7900000001,39310.42,3694281.09,2782797.55,853592.9300000001,57890.610000000001
2018-04-08,0.88000000000000001,6757101.77,3024676.53,1306785.3500000001,38315.080000000002,2387324.8100000001,1790315.7900000001,533469.21,63539.81
2018-04-01,0.76000000000000001,8515270.86,3813828.25,1116007.3200000001,35651.400000000002,3549783.8900000002,2545095.2200000003,936781.6700000001,67907
2018-03-25,0.7,9010588.320000001,3999735.71,966589.5,30130.82,4014132.2900000001,3398569.92,546409.74,69152.63000000001
2018-03-18,0.86,6579144.13,3289390.32,1115203.69,28384.400000000002,2146165.7200000003,1625982.91,455350.18,64832.63
2018-03-11,0.89000000000000002,6621293.0300000003,3309218.1000000001,926223.64000000002,28752.6,2357098.69,1820819.5400000001,472662.31,63616.84
2018-03-04,0.79000000000000004,7399716.7400000003,3596162.2900000001,1104894.9,30623.35,2668036.2000000002,2185246.3100000001,416456.32000000001,66333.57000000001
2018-02-25,0.76000000000000001,7648478.5700000003,3888705.13,989820.91000000004,28149.020000000001,2741803.51,2257193.3100000001,420376.57000000001,64233.63
2018-02-18,0.78000000000000003,7057862,3904868.07,1066061.0800000001,25700.92,2061231.93,1513446.5600000001,496221.25,51564.120000000003
2018-02-11,0.7,8043965.4100000002,3886584.4900000003,917502.14000000002,24745.180000000001,3215133.6000000001,2589009.32,574460.87,51663.410000000004
2018-02-04,0.65000000000000003,10323174.59,4772921.9500000002,1623613.8200000001,38521.35,3888117.4700000003,3351508.25,508738.57000000001,27870.650000000002
2018-01-28,0.82,7110840.9900000003,3754423.75,780891.9200000001,46906.910000000004,2528618.4100000002,2119296.19,408000.54,1321.6800000000001
2018-01-21,0.86,7128446.75,3429393.15,931790.87,36818.110000000001,2730444.6200000002,2311921.4900000003,418189.88000000001,333.25
2018-01-14,0.96,6514441.7000000002,3135720.11,1470455.24,34008.03,1874258.3200000001,1368263.3300000001,505121.44000000001,873.55
2018-01-07,0.90000000000000003,6148732.1900000005,3191091.1000000001,1064902.97,24586.380000000002,1868151.74,1373791.2800000001,493580,780.46000000000004
