Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.0700000000000001,43126773.22,13457479.92,12125207.59,908599.1,16635486.61,11924570.43,4460656.2900000001,250259.89000000002
2018-07-08,1.0300000000000001,47848189.79,14624443.740000001,14184132.580000001,1169255.6100000002,17870357.86,12817172.900000001,4735852.4500000002,317332.51000000001
2018-07-01,1.0500000000000001,45572739.170000002,14978439.61,12542937.62,969238.95,17082122.99,11945298.310000001,4934540.6200000002,202284.06
2018-06-24,1.0400000000000001,44742749.880000003,14643774.28,12717017.35,1110724,16271234.25,11708299.17,4262204.76,300730.32000000001
2018-06-17,1.0900000000000001,44009084.780000002,14909830.720000001,12904472.84,782043.1,15412738.12,11486168.320000001,3707918.88,218650.92000000002
2018-06-10,1.0300000000000001,45613372.420000002,15949807.240000001,13691955.59,753786.21,15217823.380000001,11228599.990000001,3724800.5,264422.89000000002
2018-06-03,1.0700000000000001,44705039.05,15241658.25,12611264.580000001,828737.97,16023378.25,11035193.03,4684090.46,304094.76000000001
2018-05-27,1.0300000000000001,47105314.280000002,15644843.580000001,13548819.310000001,793658.51000000001,17117992.88,11620663.52,5229855.39,267473.97
2018-05-20,1.0200000000000001,44458798.3,15391298.2,12092088.69,736111.95,16239299.460000001,11427676.19,4549192.2000000002,262431.07000000001
2018-05-13,1,46371245.840000004,15432480.060000001,12367251.740000001,759855.73,17811658.31,13110016.210000001,4432536.7800000003,269105.32000000001
2018-05-06,0.89000000000000002,63716144.15,21137400.460000001,19900871.870000002,1052499.15,21625372.670000002,15436246.720000001,5840414.8300000001,348711.12
2018-04-29,1.0700000000000001,43856758.990000003,14254036.95,13240108.54,744030.09,15618583.410000001,11122006.810000001,4208203.84,288372.76000000001
2018-04-22,1.0400000000000001,44313979.3,14522577.86,12709402.970000001,722558.85,16359439.62,11850825.630000001,4207588.22,301025.77000000002
2018-04-15,1.0300000000000001,47098677.68,15307339.310000001,13807126.470000001,894946.4300000001,17089265.47,12283244.61,4522004.01,284016.85
2018-04-08,1.0400000000000001,42964067.68,13410251.75,13040703.220000001,737515.63000000001,15775597.080000001,10948345.060000001,4555612.68,271639.34000000003
2018-04-01,1.1000000000000001,41109688.72,13467728.25,10744041.460000001,732443.87,16165475.140000001,11826774.740000001,4055704.7400000003,282995.66
2018-03-25,1.0300000000000001,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.3900000002,309467.53000000003
2018-03-18,1.0500000000000001,41386314.12,13707389.51,11061051.69,645380.85,15972492.070000001,11712807.19,3988101.7400000003,271583.14000000002
2018-03-11,1.0900000000000001,40449603.12,14089091.050000001,10758039.45,707578.82,14894893.800000001,11392828.890000001,3229556.6200000002,272508.29
2018-03-04,1.0700000000000001,40741214.05,14439547.460000001,11289307.37,571747.72,14440611.5,10832907.44,3339214.96,268489.1
2018-02-25,1.0600000000000001,40021528.76,13829857.87,10415463.59,724330.16000000004,15051877.140000001,10666942.78,4081397.7200000003,303536.64000000002
2018-02-18,1.0800000000000001,36709887.490000003,13262751.42,10491918.44,552969.73,12402247.900000001,9023351.68,3151157.42,227738.8
2018-02-11,0.97,43167806.090000004,15870677.7,11541844.87,652856.58,15102426.94,10844852.220000001,4023485.0400000001,234089.68
2018-02-04,0.87,62505646.520000004,21620180.9,20445501.030000002,1066830.22,19373134.370000002,13384586.800000001,5719096.6100000004,269450.96000000003
2018-01-28,1.0900000000000001,40171640.840000004,14551799.5,12119884.61,575974.74,12923981.990000001,9749412.19,3041125.42,133444.38000000001
2018-01-21,1.0800000000000001,42939821.55,14218843.830000001,13929702.12,928815.12,13862460.480000001,9866218.28,3789722.9,206519.3
2018-01-14,1.2,37299945.22,12600918.240000001,11866197.84,652808.40000000003,12180020.740000001,8128241.88,3917569.9500000002,134208.91000000001
2018-01-07,1.13,36703156.72,13730992.75,10781339.210000001,677714.86,11513109.900000001,8231766.2300000005,3130919.1000000001,150424.57000000001
