Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.0500000000000001,7255262.4500000002,2005864.5800000001,1766389.7700000001,181361.79000000001,3301646.3100000001,1455737.0200000001,1825869.2600000001,20040.03
2018-07-08,1.0400000000000001,7684729.09,2074745.7700000001,2082752.2600000001,250607.51000000001,3276623.55,1496391.75,1735038.8200000001,45192.980000000004
2018-07-01,1.0500000000000001,7406684.06,2165058.0800000001,1943557.5900000001,159279.74,3138788.65,1390129.13,1724272.42,24387.1
2018-06-24,0.97,7892827.1900000005,2686549.82,1860691.3100000001,118481.39,3227104.67,1373766.1100000002,1836017.2900000001,17321.270000000001
2018-06-17,1.0300000000000001,7071484.6500000004,2326162.23,2041235.7700000001,115971.77000000001,2588114.88,1414906.93,1156765.0100000001,16442.94
2018-06-10,0.92000000000000004,8197714.2800000003,3073868.9300000002,2121675.51,135802.9,2866366.94,1367329.0500000001,1482921.9,16115.99
2018-06-03,1.0200000000000001,7557801.56,2397140.75,1883391.99,118965.68,3158303.1400000002,1274011.5300000001,1867488.74,16802.87
2018-05-27,1.0100000000000001,7910315.6900000005,2311472,1979223.5700000001,140883.04000000001,3478737.0800000001,1288383.67,2173656.09,16697.32
2018-05-20,0.95,8037228.6200000002,2466176.42,2002340.96,126496.07000000001,3442215.17,1328899.38,2096922.8600000002,16392.930000000001
2018-05-13,0.98,7984513.6,2384040.92,1854037,128140.4,3618295.28,1247034.5400000001,2353564.0400000001,17696.700000000001
2018-05-06,0.91000000000000004,9979253.960000001,2797539.75,2870884.2900000001,137367.56,4173462.36,1387158.8300000001,2768318.2400000003,17985.290000000001
2018-04-29,1.0500000000000001,7406461.8,2333933.76,1809080.5400000001,131651.89000000002,3131795.61,1452571.96,1664542.4,14681.25
2018-04-22,1.0100000000000001,7726819.22,2258748.09,2042029.3700000002,154651.03,3271390.73,1299838.95,1950333.3300000001,21218.450000000001
2018-04-15,0.98,7465598.6900000005,2006643.18,1861886.5600000001,128044.58000000001,3469024.3700000002,1417857.43,2036291.45,14875.49
2018-04-08,0.94,8402043.800000001,1945809.5400000001,2498359.32,126460.77000000001,3831414.17,1244537.89,2566404.11,20472.17
2018-04-01,1.0600000000000001,6997963.2000000002,2212631.4900000003,1681811.8600000002,151942.59,2951577.26,1440043.93,1496136.0600000001,15397.270000000001
2018-03-25,0.9300000000000001,7667064.46,2567279.7400000003,1912986.38,118289.91000000001,3068508.4300000002,1309580.19,1745630.0600000001,13298.180000000001
2018-03-18,0.99,7254940.6500000004,2099082.6600000002,1707752.8400000001,115997.93,3332107.2200000003,1333247.0500000001,1982086.0200000001,16774.150000000002
2018-03-11,1,6906412.5,2442241.76,1695925.97,130983,2637261.7700000001,1435608.5900000001,1184730.5600000001,16922.62
2018-03-04,0.96,7371498.76,2676545.9,1748192.0400000001,118365.31,2828395.51,1432984.96,1379886.5300000001,15524.020000000001
2018-02-25,0.97,7408451.31,2154414.96,1740237.3500000001,117766.27000000001,3396032.73,1164132.42,2205336.1400000002,26564.17
2018-02-18,0.98,6783106.02,2511897.38,1645249.93,107420.55000000001,2518538.1600000002,1311830.1100000002,1187897.0700000001,18810.98
2018-02-11,0.9300000000000001,7463494.7900000001,2646176.67,1633418.2800000001,109146.92,3074752.92,1203367.0300000001,1856207.8500000001,15178.040000000001
2018-02-04,0.83,10565056.410000001,3121272.5800000001,3294335.8700000002,142553.21,4006894.75,1151399.3300000001,2838239.3900000002,17256.03
2018-01-28,1.0100000000000001,7007265.31,2718390.8100000001,1664995.75,93165.88000000001,2530712.8700000002,1254504.0700000001,1260049.46,16159.340000000001
2018-01-21,1.0400000000000001,7053820.1200000002,2218365.17,1811849.7800000001,106001.28,2917603.8900000002,1196963.0300000001,1707643.7600000001,12997.100000000001
2018-01-14,1.0500000000000001,7577456.14,2249412.86,2028819.7700000001,113257.03,3185966.48,1152416.21,2017353.3200000001,16196.950000000001
2018-01-07,1.0800000000000001,6358768.9500000002,2061960.91,1706532.5200000001,108441.55000000001,2481833.9700000003,1175889.89,1291212.75,14731.33
