Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.64,327208.57000000001,45609.790000000001,77114.67,498.66000000000003,203985.45000000002,172330.27,31655.180000000001,0
2018-07-08,1.74,247609.78,21432.270000000001,37276.260000000003,351.2,188550.05,152857.81,35692.24,0
2018-07-01,1.68,256976.27,19335.03,31479.400000000002,1685.59,204476.25,167533.44000000001,36942.81,0
2018-06-24,1.63,272360.05,21282.200000000001,32822.720000000002,1556.62,216698.51000000001,190506.93,26191.580000000002,0
2018-06-17,1.6000000000000001,400174.36,69183.91000000001,99285.96000000001,1584.79,230119.70000000002,201169.32000000001,28950.380000000002,0
2018-06-10,1.65,253502.71,15868.780000000001,28439.950000000001,1519.9100000000001,207674.07000000001,180399.52,27274.55,0
2018-06-03,1.6100000000000001,362681.84000000003,52896.650000000002,79255.18,1514.1300000000002,229015.88000000001,192157.33,36858.550000000003,0
2018-05-27,1.5300000000000001,317412.83000000002,15320.97,26643.76,1496.9000000000001,273951.20000000002,240055.58,33895.620000000003,0
2018-05-20,1.5600000000000001,328951.01000000001,19439.840000000001,34574.57,1284.05,273652.55,247111.08,26541.470000000002,0
2018-05-13,1.5200000000000001,395603.64000000002,46964.34,69633.440000000003,902.4500000000001,278103.41,243693.54000000001,34409.870000000003,0
2018-05-06,1.5500000000000001,321411.78000000003,15407.270000000001,39755.910000000004,478.7,265769.90000000003,238501.02,27268.880000000002,0
2018-04-29,1.6000000000000001,335452.84000000003,20328.64,52899.38,828.9500000000001,261395.87,229814.19000000001,31581.680000000001,0
2018-04-22,1.5400000000000001,390475.98,41235.370000000003,96977.31,172.73,252090.57000000001,222444.56,29646.01,0
2018-04-15,1.5700000000000001,319905.51000000001,16487.39,40435.550000000003,611.92,262370.65000000003,229709.19000000001,32661.46,0
2018-04-08,1.6200000000000002,302581.25,16101.790000000001,40176.38,859.22000000000003,245443.86,217226.79000000001,28217.07,0
2018-04-01,1.5900000000000001,366391.42,34992.49,80066.23,675.98000000000002,250656.72000000001,213815.91000000001,36840.81,0
2018-03-25,1.5800000000000001,374859.68,19823.16,58366.540000000001,201.04,296468.94000000001,265716.88000000001,30752.060000000002,0
2018-03-18,1.64,419607.75,61608.190000000003,131261.94000000001,53.54,226684.08,195973.16000000001,30710.92,0
2018-03-11,1.7600000000000001,288008.65000000003,20619.840000000001,53255.290000000001,151.81000000000001,213981.71,185792.45000000002,28189.26,0
2018-03-04,1.65,313200.35,38734.870000000003,90401.71000000001,108.65000000000001,183955.12,168196.82000000001,15758.3,0
2018-02-25,1.63,303577.39000000002,23250.650000000002,66623.87,199.38,213503.49,193020.88000000001,20482.610000000001,0
2018-02-18,1.39,793464.77000000002,150620,425616.86,874.9,216353.01000000001,197949.51000000001,18403.5,0
2018-02-11,1.69,233976.66000000001,10690.15,28304.930000000001,798.88,194182.70000000002,175554.11,18628.590000000001,0
2018-02-04,1.66,273309.58000000002,16597.290000000001,41306.63,766.14,214639.52,188630.21,26009.310000000002,0
2018-01-28,1.5600000000000001,319174.35,23903.560000000002,45738.71,143.80000000000002,249388.28,242631.48000000002,6756.8000000000002,0
2018-01-21,1.75,215742.94000000001,11683.16,26922.85,162.73,176974.20000000002,167900.81,9073.39,0
2018-01-14,1.67,272690.13000000001,14282.25,33534.860000000001,58.590000000000004,224814.43,206708.26000000001,18106.17,0
2018-01-07,1.75,264448.77000000002,11605.47,35898.690000000003,55.76,216888.85000000001,205469.10000000001,11419.75,0
