Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.3400000000000001,143830.28,21511.6,4991.54,0,117327.14,94532.31,22794.830000000002,0
2018-07-08,1.43,134279.06,26876.75,5047.74,0,102354.57000000001,81982.080000000002,20372.490000000002,0
2018-07-01,1.3700000000000002,150976.28,27243.970000000002,5701.08,0,118031.23,98221.24000000001,19809.990000000002,0
2018-06-24,1.38,158941.66000000001,30388.110000000001,6126.15,0,122427.4,101902.06,20525.340000000001,0
2018-06-17,1.41,186344.14000000002,33448.550000000003,6159.12,0,146736.47000000001,122812.29,23924.180000000001,0
2018-06-10,1.45,186552.26000000001,37752.5,6111.8500000000004,0,142687.91000000001,116157.78,26530.130000000002,0
2018-06-03,1.4,158468.85000000001,28736.01,6680.6800000000003,0,123052.16000000001,100234.36000000001,22817.8,0
2018-05-27,1.3500000000000001,162781.97000000001,25044.3,7321.98,0,130415.69000000001,106056.21000000001,24359.48,0
2018-05-20,1.3700000000000002,169056.91000000001,27018.76,6474.7700000000005,0,135563.38000000001,112858.82000000001,22704.560000000002,0
2018-05-13,1.3200000000000001,154855.44000000001,22648.07,5540.6300000000002,0,126666.74000000001,98653.99000000001,28012.75,0
2018-05-06,1.3500000000000001,160821.60000000001,25842.520000000001,5807.49,0,129171.59,107579.41000000001,21592.180000000001,0
2018-04-29,1.48,162599.68,31073.64,5965.24,0,125560.80000000001,102250.80000000001,23310,0
2018-04-22,1.39,155684.38000000001,34374.540000000001,5490.57,0,115819.27000000001,91929.14,23890.130000000002,0
2018-04-15,1.3700000000000002,162804.87,22144.12,5488.08,0,135172.67000000002,115817.65,19355.020000000001,0
2018-04-08,1.42,171683.59,23461.560000000002,6041.9600000000001,0,142180.07000000001,117741.43,24438.64,0
2018-04-01,1.3400000000000001,174033,27551.37,6192.0100000000003,0,140289.62,119030.61000000001,21259.01,0
2018-03-25,1.42,163496.70000000002,29253.3,5080.04,0,129163.36000000001,109052.26,20111.1,0
2018-03-18,1.2800000000000001,154056.32000000001,27820.200000000001,6264.66,0,119971.46000000001,101198.09,18773.37,0
2018-03-11,1.3200000000000001,179212.94000000001,29896.39,5707.7700000000005,0,143608.78,126427.81,17180.970000000002,0
2018-03-04,1.41,144664.26000000001,25407.12,5094.7200000000003,0,114162.42,96833.15,17329.270000000001,0
2018-02-25,1.41,126906.61000000001,20045.220000000002,4781.58,0,102079.81,87202.79,14877.020000000001,0
2018-02-18,1.42,134888.08,23406.880000000002,5128.16,27.460000000000001,106325.58000000001,94331.46000000001,11994.120000000001,0
2018-02-11,1.4,128955.64,20164.540000000001,3290.7300000000001,0,105500.37,93391.830000000002,12108.540000000001,0
2018-02-04,1.41,135996.73000000002,29097.180000000001,3815.0100000000003,0,103084.54,96116.60000000001,6967.94,0
2018-01-28,1.42,137453.79000000001,29301.71,4418.91,0,103733.17,98629.14,5104.03,0
2018-01-21,1.44,138349.93,22596.66,3200.0900000000002,0,112553.18,105354.48,7198.7,0
2018-01-14,1.5,146720.73000000002,31829.240000000002,4472.99,0,110418.5,102266.31,8152.19,0
2018-01-07,1.41,126323.33000000001,25296.770000000001,3848.62,3,97174.940000000003,90151.57000000001,7023.37,0
