Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.5800000000000001,1568944.98,155018.27,349923.01000000001,1277.1,1062513.7900000001,850384.88000000001,212101.67000000002,27.24
2018-07-08,1.5700000000000001,1589877.42,153518.59,341813.38000000001,1115.9000000000001,1092704.92,805225.83,287408.34000000003,70.75
2018-07-01,1.5600000000000001,1577022.49,151294.41000000001,317193.63000000001,2514.2,1100184.8600000002,850168.07,249775.02,241.77000000000002
2018-06-24,1.5,1633962.1200000002,163841.3,289770.82000000001,2323.1700000000001,1071575.45,882715.58,188246.12,613.75
2018-06-17,1.41,2009887.7600000001,200044.08,366668.23,2194.7600000000003,1159167.88,932509.19,226433.79000000001,224.90000000000001
2018-06-10,1.5200000000000001,1739840.46,148182.01000000001,286902.54,2235.2300000000001,1182638.47,943013.1700000001,239619.27,6.0300000000000003
2018-06-03,1.45,2114576.9,209631.96,394164.19000000001,2382.74,1311045.39,1007876.3100000001,302990.28000000003,178.80000000000002
2018-05-27,1.42,2109541.63,181149.41000000001,348179.71000000003,2397.7800000000003,1373723.99,1054811.41,318779.77000000002,132.81000000000001
2018-05-20,1.5100000000000001,1673877.4,136748.96,339512.94000000001,2332.58,1182749.5900000001,958819.25,223892.64000000002,37.700000000000003
2018-05-13,1.5300000000000001,1628313.1100000002,155886.88000000001,358982.72,1957.6600000000001,1111090.67,873501.09,237527.59,61.990000000000002
2018-05-06,1.5500000000000001,1553505.7700000001,140895.91000000001,311885.58000000002,1342.7400000000001,1099216.41,862135.4200000001,237043,37.990000000000002
2018-04-29,1.5500000000000001,1682802.8700000002,153751.17000000002,352293.20000000002,1820.3800000000002,1174781.7600000001,879278.5,295503.26000000001,0
2018-04-22,1.5,1762657.39,172008.18,414972.24,1099.32,1174508.94,910246.88000000001,264137.24,124.82
2018-04-15,1.5100000000000001,1684002.95,133729.75,343301.42,1630,1205016.8500000001,991437.4200000001,213457.25,122.18000000000001
2018-04-08,1.5500000000000001,1565215.63,133437.34,331037.40000000003,1687.4500000000001,1098382.19,945843.86,152538.33,0
2018-04-01,1.5500000000000001,1634205.97,142018.15,385226.8,1519.3800000000002,1104466.74,943423.21,161037.33,6.2000000000000002
2018-03-25,1.5500000000000001,1559967.2,121007.94000000001,342853.1,1070.2400000000001,1093861.0900000001,902774.79000000004,190941.84,144.46000000000001
2018-03-18,1.5400000000000001,1675804.22,170801.85000000001,444949.69000000001,1045.3800000000002,1058651.5,837351.85,221129.46,170.19
2018-03-11,1.5200000000000001,1664234.88,129169.72000000001,408763.5,1401.87,1124621.5,944572.5,180049,0
2018-03-04,1.5200000000000001,1634430.7700000001,142345.03,390129.5,1225.9700000000001,1099871.68,831885.5,267818.31,167.87000000000001
2018-02-25,1.5700000000000001,1459852.5500000001,122912.97000000001,340374.83000000002,1063.32,994471.5,765056.82,229158.56,256.12000000000001
2018-02-18,1.5200000000000001,1814929.97,246515.35000000001,680037.45,1905.4600000000001,886241.96,783017.98,103184.01,39.97
2018-02-11,1.5600000000000001,1317000.47,98465.26,270798.27000000002,1839.8,945638.02000000002,768242.4200000001,177144,251.6
2018-02-04,1.5300000000000001,1384683.41,117922.52000000001,287724.61,1703.52,977084.84,774695.74,201878.69000000001,510.41000000000003
2018-01-28,1.6100000000000001,1336979.0900000001,118616.17,280080.34000000003,1270.61,936859.49,796104.27000000002,140652.84,102.38
2018-01-21,1.63,1283987.65,108705.28,259172.13000000001,1490.02,914409.26000000001,710654.40000000003,203526.59,228.27000000000002
2018-01-14,1.5900000000000001,1476651.0800000001,145680.62,323669.83000000002,1580.01,1005593.7800000001,858772.69,146808.97000000001,12.12
2018-01-07,1.5100000000000001,1517332.7,129541.43,296490.29,1289.07,1089861.24,915452.78000000003,174381.57000000001,26.890000000000001
