Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags"
2018-07-15,1.68,285693.69000000001,32613.840000000001,68350.05000000001,232.90000000000001,184496.9,114125.08000000001,70344.580000000002,27.24
2018-07-08,1.5500000000000001,358103.23,38716.27,88311.38000000001,161.22,230914.36,99888.970000000002,130954.64,70.75
2018-07-01,1.5600000000000001,330833.05,41170.860000000001,80108.39,149.6,209404.20000000002,97738.59,111423.84,241.77000000000002
2018-06-24,1.69,253833.61,47975.7,52911.14,134.36000000000002,152812.41000000001,83429.55000000001,68769.110000000001,613.75
2018-06-17,1.69,267190.78000000003,37790.14,54258.190000000003,165.74000000000001,174976.71,102244.07000000001,72507.74000000001,224.90000000000001
2018-06-10,1.5600000000000001,323749.61,36170.89,50960.260000000003,168.29,236450.17000000002,159365.07000000001,77079.07000000001,6.0300000000000003
2018-06-03,1.42,533651.27000000002,59302.160000000004,94149.440000000003,379.98000000000002,379819.69000000001,240579.71,139061.18,178.80000000000002
2018-05-27,1.42,507881.58000000002,73986.720000000002,77392.67,323.27,356178.92,198549.18,157496.93,132.81000000000001
2018-05-20,1.68,258406.97000000001,36581.92,63156.84,211.73,158456.48000000002,97249.17,61169.610000000001,37.700000000000003
2018-05-13,1.71,247098.54000000001,33131.120000000003,71067.940000000003,153.76,142745.72000000001,82498.82000000001,60184.910000000004,61.990000000000002
2018-05-06,1.71,238236.25,39351.27,60352.190000000003,123.09000000000001,138409.70000000002,77628.05000000001,60743.660000000004,37.990000000000002
2018-04-29,1.5500000000000001,308548.64000000002,40423.580000000002,72304.24000000001,138.25,195682.57000000001,76648.77000000001,119033.80000000001,0
2018-04-22,1.47,331096.91,29968.720000000002,106953.41000000001,212.34000000000001,193962.44000000001,89298.05000000001,104539.57000000001,124.82
2018-04-15,1.5500000000000001,290039.82000000001,25409.21,73195.80000000001,230.92,191203.89000000002,105715.52000000001,85366.190000000003,122.18000000000001
2018-04-08,1.69,225002.23000000002,27306.96,67085.13000000001,106.38,130503.76,105023.06,25480.700000000001,0
2018-04-01,1.6000000000000001,280735.98,30111.71,75119.690000000003,108.87000000000001,175395.71,126945.55000000001,48443.96,6.2000000000000002
2018-03-25,1.6000000000000001,271723.08000000002,26996.28,77861.39,117.56000000000001,166747.85000000001,87108,79495.39,144.46000000000001
2018-03-18,1.73,210067.47000000001,33437.980000000004,47165.540000000001,110.40000000000001,129353.55000000001,73163.12,56020.24,170.19
2018-03-11,1.63,264691.87,27566.25,60383.57,276.42000000000002,176465.63000000001,107174.93,69290.7,0
2018-03-04,1.46,347373.17,25990.6,71213.190000000003,79.01000000000001,250090.37,85835.17,164087.33,167.87000000000001
2018-02-25,1.49,301985.61,34200.180000000001,49139.34,85.58,218560.51000000001,99989.62,118314.77000000001,256.12000000000001
2018-02-18,1.64,224798.60000000001,30149,38800.64,123.13,155725.83,120428.13000000001,35257.730000000004,39.97
2018-02-11,1.47,275248.53000000003,24732.55,61713.53,243,188559.45000000002,88497.05000000001,99810.80000000001,251.6
2018-02-04,1.41,283378.47,22474.66,55360.49,133.41,205409.91000000001,70232.59,134666.91000000001,510.41000000000003
2018-01-28,1.8000000000000001,185974.53,22918.400000000002,33051.14,93.52,129911.47000000001,77822.23,51986.860000000001,102.38
2018-01-21,1.8300000000000001,189317.99,27049.44,33561.32,439.47000000000003,128267.76,76091.99000000001,51947.5,228.27000000000002
2018-01-14,1.8200000000000001,207999.67000000002,33869.120000000003,47435.14,433.52,126261.89,89115.78,37133.99,12.12
2018-01-07,1.48,297190.6,34734.970000000002,62967.74,157.77000000000002,199330.12,103761.55000000001,95544.39,24.18
