Listing Pictures,MLS #,Status,Style,Full Address,Zip,Community,MapCoord,Beds,TotB,EstSF,YrBlt,DOMLS,ListPrice,Lst Date,Sold Price,COEDate,Sale/Rent,Vacation Rental By Owner
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045508/0/120/90/17da4cb5c4564ef0eb23f83e48c83744/1/97a502b57048cb740c163ca41bb0b160/180045508.JPG,180045508,ACT,ATT,4095 Bonita Road  132,91902,BONT,,2,2,"1,007",1970,3,"$310,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180024056/0/120/90/8bbd98b6c6a04cded0f2cc2589970278/1/4b74ecd002f0b22ac1379b3b3bab2ac8/180024056.JPG,180024056,ACT,TOWNH,88 Fourth Ave  10,91910,CV,1310A5,3,2,"1,611",2004,104,"$399,900 ",5/6/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035693/0/120/90/3092aaa5be0b1b0132069d2b1e0a3870/1/2bdaef15b7d5053a3b54ea915801084f/180035693.JPG,180035693,ACT,ATT,2167 Palo Alto Dr  133,91914,CV,1311D2,2,2,"1,061",2006,50,"$374,000 ",6/29/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042493/0/120/90/7628bd10791ed4f93cfb8fd1db30b3ac/1/60c790b844f18ec035f69351caa1f913/180042493.JPG,180042493,ACT,TOWNH,2134 Cantata Dr.  36,91914,CV,,2,2,"1,061",2006,17,"$379,000 ",7/30/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180038189/0/120/90/ccc81854f6fe6c23dc715bde6e235db0/1/9aebe57bdc1f293f808a0be7aa6512a0/180038189.JPG,180038189,ACT,ATT,280 Salinas Dr.  171,91914,CV,,2,2,"1,061",2006,37,"$372,000 - $385,000",7/10/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043165/0/120/90/55c92d7e1170631a6af780f7e0a72c72/1/f3352529eb336c6fdabd266abd69b1ac/180043165.JPG,180043165,ACT,ATT,2360 Corte Pescado  88,91914,CV,1311F3,3,3,"1,285",2006,15,"$399,000 ",8/3/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045558/0/120/90/95814487346e454423646c9d81ff69dc/1/af89d2ad754adc964caa51b69843d476/180045558.JPG,180045558,ACT,ATT,2340 Corte Flores  98,91914,CV,1311F3,4,3,"1,468",2006,3,"$419,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180037792/0/120/90/c8ded2f40598a744dd7904fc0c3c7c54/1/3adfb9763b4be6e9b1305179a1ead4ed/180037792.JPG,180037792,ACT,ATT,2271 Alicante Cove,91914,CV,,3,2,"1,342",2000,38,"$449,000 - $465,900",7/11/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040474/0/120/90/209a84c4482e7cdba3707f963316400d/1/a398e2c1acd010460d9d151cb3184be5/180040474.JPG,180040474,ACT,ATT,381 Caminito Barcelona  59,91914,CV,1.31E+05,3,3,"1,410",2003,26,"$480,000 - $490,000",7/23/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043088/0/120/90/bae166cc6b1c6cabf1ba25fc4a97b5b7/1/1ac32e17e96c7fd4c6720a2fd0a4a4a1/180043088.JPG,180043088,ACT,TOWNH,4416 Palm Ave  11,91941,LM,,3,3,"1,459",2018,15,"$510,000 ",8/3/18,,,For Sale,
